"sex","age_group","2006","2007","2008","2009","2010","2011","2012"
1,1,71082,71575,72051,72511,72953,74200,75276
1,2,72076,72650,73208,73752,74281,75551,76646
1,3,70973,71609,72233,72844,73442,74697,75781
1,4,71396,71747,72077,72386,72673,73915,74987
1,5,75641,76047,76432,76795,77136,78455,79592
1,6,68582,70254,71946,73656,75385,76674,77785
1,7,59713,60921,62140,63367,64604,65708,66661
1,8,50961,51704,52447,53189,53931,54853,55648
1,9,44092,44588,45079,45565,46046,46833,47512
1,10,37870,38992,40131,41286,42457,43183,43809
1,11,31239,32094,32961,33839,34728,35322,35834
1,12,24340,25424,26529,27655,28803,29295,29720
1,13,18662,19448,20248,21064,21894,22268,22591
1,14,14321,14879,15447,16025,16613,16897,17142
1,15,10676,10839,11002,11166,11329,11523,11690
1,16,16699,16863,17025,17184,17341,17637,17893
2,1,68470,68924,69361,69781,70185,71385,72420
2,2,70406,71010,71601,72178,72742,73985,75058
2,3,69695,70158,70604,71033,71445,72666,73720
2,4,73744,73763,73749,73704,73626,74885,75970
2,5,79785,80008,80202,80368,80505,81881,83068
2,6,73435,74915,76406,77908,79422,80780,81951
2,7,64291,65452,66618,67790,68968,70147,71164
2,8,57408,58150,58888,59622,60353,61385,62275
2,9,49594,50219,50839,51456,52070,52960,53728
2,10,43464,44893,46345,47819,49317,50160,50887
2,11,35497,36597,37714,38848,39999,40683,41273
2,12,27737,29026,30341,31682,33048,33613,34100
2,13,21791,22665,23555,24461,25383,25817,26191
2,14,17485,18075,18674,19283,19901,20241,20535
2,15,13026,13295,13566,13840,14115,14356,14564
2,16,23450,23705,23956,24205,24451,24869,25230
